Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,database_cross_reference,definition,has_obo_format_version,has_obo_namespace,has_related_synonym,http://data.bioontology.org/metadata/treeView,http://www.geneontology.org/formats/oboInOwl#auto-generated-by,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#saved-by,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#notation,is_a
http://purl.obolibrary.org/obo/SBO_0000274,"enzymatic rate law for simple competitive inhibition of irreversible unireactant enzymes by two non-exclusive, non-cooperative inhibitors",,"Inhibition of a unireactant enzyme by two inhibitors that can bind independently once to the free enzyme and preclude the binding of the substrate. The enzymes do not catalyse the reactions in both directions.<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <semantics definitionURL=""http://biomodels.net/SBO/#SBO:0000062"">
    <lambda>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000025"">kcat</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000505"">Et</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000515"">S</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000521"">I1</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000521"">I2</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000027"">Ks</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000261"">Ki1</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000261"">Ki2</ci></bvar>
      <apply>
    <divide/>
    <apply>
      <times/>
      <ci>kcat</ci>
      <ci>Et</ci>
      <ci>S</ci>
    </apply>
    <apply>
      <plus/>
      <apply>
        <times/>
        <ci>Ks</ci>
        <apply>
          <plus/>
          <cn type=""integer"">1</cn>
          <apply>
        <divide/>
        <ci>I1</ci>
        <ci>Ki1</ci>
          </apply>
          <apply>
        <divide/>
        <ci>I2</ci>
        <ci>Ki2</ci>
          </apply>
          <apply>
        <divide/>
        <apply>
          <times/>
          <ci>I1</ci>
           <ci>I2</ci>
        </apply>
        <apply>
          <times/>
          <ci>Ki1</ci>
          <ci>Ki2</ci>
        </apply>
          </apply>
        </apply>
      </apply>
      <ci>S</ci>
    </apply>
      </apply>
    </lambda>
 </semantics>
 </math> ",false,,,http://purl.obolibrary.org/obo/SBO_0000379|http://purl.obolibrary.org/obo/SBO_0000273,,"Inhibition of a unireactant enzyme by two inhibitors that can bind independently once to the free enzyme and preclude the binding of the substrate. The enzymes do not catalyse the reactions in both directions.<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <semantics definitionURL=""http://biomodels.net/SBO/#SBO:0000062"">
    <lambda>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000025"">kcat</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000505"">Et</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000515"">S</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000521"">I1</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000521"">I2</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000027"">Ks</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000261"">Ki1</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000261"">Ki2</ci></bvar>
      <apply>
    <divide/>
    <apply>
      <times/>
      <ci>kcat</ci>
      <ci>Et</ci>
      <ci>S</ci>
    </apply>
    <apply>
      <plus/>
      <apply>
        <times/>
        <ci>Ks</ci>
        <apply>
          <plus/>
          <cn type=""integer"">1</cn>
          <apply>
        <divide/>
        <ci>I1</ci>
        <ci>Ki1</ci>
          </apply>
          <apply>
        <divide/>
        <ci>I2</ci>
        <ci>Ki2</ci>
          </apply>
          <apply>
        <divide/>
        <apply>
          <times/>
          <ci>I1</ci>
           <ci>I2</ci>
        </apply>
        <apply>
          <times/>
          <ci>Ki1</ci>
          <ci>Ki2</ci>
        </apply>
          </apply>
        </apply>
      </apply>
      <ci>S</ci>
    </apply>
      </apply>
    </lambda>
 </semantics>
 </math> ",,sbo,,http://purl.obolibrary.org/obo/SBO_0000379|http://purl.obolibrary.org/obo/SBO_0000273,,,,SBO:0000274,,,"enzymatic rate law for simple competitive inhibition of irreversible unireactant enzymes by two non-exclusive, non-cooperative inhibitors",,SBO:0000274,
http://purl.obolibrary.org/obo/SBO_0000285,material entity of unspecified nature,,Material entity whose nature is unknown or irrelevant.,false,,,http://purl.obolibrary.org/obo/SBO_0000240,,Material entity whose nature is unknown or irrelevant.,,sbo,,http://purl.obolibrary.org/obo/SBO_0000240,,,,SBO:0000285,,,material entity of unspecified nature,,SBO:0000285,
http://purl.obolibrary.org/obo/SBO_0000296,macromolecular complex,,Non-covalent complex of one or more macromolecules and zero or more simple chemicals.|Created on January 10 2007 by Nicolas Le Novere.,false,,,http://purl.obolibrary.org/obo/SBO_0000253,,Non-covalent complex of one or more macromolecules and zero or more simple chemicals.,,sbo,,http://purl.obolibrary.org/obo/SBO_0000253,,,,SBO:0000296,,Created on January 10 2007 by Nicolas Le Novere.,macromolecular complex,,SBO:0000296,
http://purl.obolibrary.org/obo/SBO_0000306,pK,dissociation potential,"negative logarithm (base 10) of a dissociation constant.<math xmlns=""http://www.w3.org/1998/Math/MathML"">
   <lambda>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000282"">K</ci></bvar>
     <apply>
       <minus/>
       <apply>
         <log/>
         <ci>K</ci>
       </apply>
     </apply>
   </lambda>
</math>|Created on February 3 2007 by Nicolas Le Novere on a suggestion of Martin Golebiewski.",false,,,http://purl.obolibrary.org/obo/SBO_0000303|http://purl.obolibrary.org/obo/SBO_0000309,,"negative logarithm (base 10) of a dissociation constant.<math xmlns=""http://www.w3.org/1998/Math/MathML"">
   <lambda>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000282"">K</ci></bvar>
     <apply>
       <minus/>
       <apply>
         <log/>
         <ci>K</ci>
       </apply>
     </apply>
   </lambda>
</math>",,sbo,dissociation potential,http://purl.obolibrary.org/obo/SBO_0000303|http://purl.obolibrary.org/obo/SBO_0000309,,,,SBO:0000306,,Created on February 3 2007 by Nicolas Le Novere on a suggestion of Martin Golebiewski.,pK,,SBO:0000306,
http://purl.obolibrary.org/obo/SBO_0000317,small interfering RNA,siRNA,"siRNA are 20-25 nucleotide-long double-stranded RNA molecules involved in the regulation of the expression of specific genes, antiviral mechanisms, shaping the chromatin structure of a genome etc. |Created on March 12 2007 by Nicolas Le Novere with help from Laure Gambardella",false,,,http://purl.obolibrary.org/obo/SBO_0000241,,"siRNA are 20-25 nucleotide-long double-stranded RNA molecules involved in the regulation of the expression of specific genes, antiviral mechanisms, shaping the chromatin structure of a genome etc. ",,sbo,siRNA,http://purl.obolibrary.org/obo/SBO_0000241,,,,SBO:0000317,,Created on March 12 2007 by Nicolas Le Novere with help from Laure Gambardella,small interfering RNA,,SBO:0000317,
http://purl.obolibrary.org/obo/SBO_0000340,trimolecular association rate constant,,Rate with which three components associate into a complex.|created on February 26 2008 by Nicolas Le Novere on the suggestion of Samuel Kerrien.,false,,,http://purl.obolibrary.org/obo/SBO_0000341|http://purl.obolibrary.org/obo/SBO_0000037,,Rate with which three components associate into a complex.,,sbo,,http://purl.obolibrary.org/obo/SBO_0000341|http://purl.obolibrary.org/obo/SBO_0000037,,,,SBO:0000340,,created on February 26 2008 by Nicolas Le Novere on the suggestion of Samuel Kerrien.,trimolecular association rate constant,,SBO:0000340,
http://purl.obolibrary.org/obo/SBO_0000180,dissociation,,Transformation of a non-covalent complex that results in the formation of several independent biochemical entities,false,,,http://purl.obolibrary.org/obo/SBO_0000176,,Transformation of a non-covalent complex that results in the formation of several independent biochemical entities,,sbo,,http://purl.obolibrary.org/obo/SBO_0000176,,,,SBO:0000180,,,dissociation,,SBO:0000180,
http://purl.obolibrary.org/obo/SBO_0000191,Hill constant,,"Empirical constant created by Archibald Vivian Hill to describe the cooperative binding of oxygen on hemoglobine (Hill (1910). The possible effects of the aggregation of the molecules of haemoglobin on its dissociation curves. J Physiol 40: iv-vii). Different from a microscopic dissociation constant, it has the dimension of concentration to the power of the Hill coefficient.",false,,,http://purl.obolibrary.org/obo/SBO_0000193,,"Empirical constant created by Archibald Vivian Hill to describe the cooperative binding of oxygen on hemoglobine (Hill (1910). The possible effects of the aggregation of the molecules of haemoglobin on its dissociation curves. J Physiol 40: iv-vii). Different from a microscopic dissociation constant, it has the dimension of concentration to the power of the Hill coefficient.",,sbo,,http://purl.obolibrary.org/obo/SBO_0000193,,,,SBO:0000191,,,Hill constant,,SBO:0000191,
http://purl.obolibrary.org/obo/SBO_0000295,non-spatial discrete framework,,"Modelling approach where the quantities of participants are considered discrete, and represented by integer values. The associated simulation methods can be deterministic or stochastic.The models do not take into account the distribution of the entities and describe only the temporal fluxes.   
|Created on Decemer 22 2006 by Nicolas Le Novere",false,,,http://purl.obolibrary.org/obo/SBO_0000063,,"Modelling approach where the quantities of participants are considered discrete, and represented by integer values. The associated simulation methods can be deterministic or stochastic.The models do not take into account the distribution of the entities and describe only the temporal fluxes.   
",,sbo,,http://purl.obolibrary.org/obo/SBO_0000063,,,,SBO:0000295,,Created on Decemer 22 2006 by Nicolas Le Novere,non-spatial discrete framework,,SBO:0000295,
http://purl.obolibrary.org/obo/SBO_0000527,modular rate law,,"Modular rate laws are a set of rate laws that provide a means to parameterise a system in a manner that is a compromise between mathematical abstraction and biochemical detail. They share the same common form:

v = u f (T/(D + Dreg))

The individual numerator and denominator terms can substituted with alternative forms, depending on reaction details and model formulation, to generate specific modular rate laws. The terms represented are;
v, reaction rate;
u, enzyme amount;
T, modular term derived from stoichiometries, metabolite concentrations and reactant constants;
D, modular term for polynomial of scaled concentrations;
Dreg, competitive regulation binding states term;
f, modular term for regulation factor.|under review: Liebermeister, Uhlendorf and Klipp (2010), ""Modular rate laws for enzymatic reactions: thermodynamics, elasticities, and implementation."" journal, xyz:abc-def).",false,,,http://purl.obolibrary.org/obo/SBO_0000001,,"Modular rate laws are a set of rate laws that provide a means to parameterise a system in a manner that is a compromise between mathematical abstraction and biochemical detail. They share the same common form:

v = u f (T/(D + Dreg))

The individual numerator and denominator terms can substituted with alternative forms, depending on reaction details and model formulation, to generate specific modular rate laws. The terms represented are;
v, reaction rate;
u, enzyme amount;
T, modular term derived from stoichiometries, metabolite concentrations and reactant constants;
D, modular term for polynomial of scaled concentrations;
Dreg, competitive regulation binding states term;
f, modular term for regulation factor.",,sbo,,http://purl.obolibrary.org/obo/SBO_0000001,,,,SBO:0000527,,"under review: Liebermeister, Uhlendorf and Klipp (2010), ""Modular rate laws for enzymatic reactions: thermodynamics, elasticities, and implementation."" journal, xyz:abc-def).",modular rate law,,SBO:0000527,
http://purl.obolibrary.org/obo/SBO_0000316,microRNA,miRNA,Single-stranded RNA molecules thought to regulate the expression of other genes. miRNAs are encoded by genes that are transcribed from DNA but not translated into protein (non-coding RNA).|Created on March 12 2007 by Nicolas Le Novere with help from Laure Gambardella,false,,,http://purl.obolibrary.org/obo/SBO_0000334,,Single-stranded RNA molecules thought to regulate the expression of other genes. miRNAs are encoded by genes that are transcribed from DNA but not translated into protein (non-coding RNA).,,sbo,miRNA,http://purl.obolibrary.org/obo/SBO_0000334,,,,SBO:0000316,,Created on March 12 2007 by Nicolas Le Novere with help from Laure Gambardella,microRNA,,SBO:0000316,
http://purl.obolibrary.org/obo/SBO_0000574,standard enthalpy of formation,,"The enthalpy change observed in a constituent of a thermodynamic system
when one mole of a compound, in its standard state, is formed from its
elementary antecedents, in their standard state(s), under standard
conditions (1 bar). The standard unit of measure is kJ/mol.
Symbol: DeltaHf0, DeltafH0|created in response to [SF req #3286595]",false,,,http://purl.obolibrary.org/obo/SBO_0000573,,"The enthalpy change observed in a constituent of a thermodynamic system
when one mole of a compound, in its standard state, is formed from its
elementary antecedents, in their standard state(s), under standard
conditions (1 bar). The standard unit of measure is kJ/mol.
Symbol: DeltaHf0, DeltafH0",,sbo,,http://purl.obolibrary.org/obo/SBO_0000573,,,,SBO:0000574,,created in response to [SF req #3286595],standard enthalpy of formation,,SBO:0000574,
http://purl.obolibrary.org/obo/SBO_0000363,activation constant,Kx,"Dissociation constant of a potentiator (activator) from a target (e.g. an
enzyme) of which it activates the function.|Created 20th May 2008 by Nick Juty on the request of Martin Golebiewski.",false,,,http://purl.obolibrary.org/obo/SBO_0000282,,"Dissociation constant of a potentiator (activator) from a target (e.g. an
enzyme) of which it activates the function.",,sbo,Kx,http://purl.obolibrary.org/obo/SBO_0000282,,,,SBO:0000363,,Created 20th May 2008 by Nick Juty on the request of Martin Golebiewski.,activation constant,,SBO:0000363,
http://purl.obolibrary.org/obo/SBO_0000550,annotation,,Supplementary information that does not modify the semantics of the presented information.|refer to [SF req #3172596]; see also [SBGN ER 'Annotation'],false,,,http://purl.obolibrary.org/obo/SBO_0000544,,Supplementary information that does not modify the semantics of the presented information.,,sbo,,http://purl.obolibrary.org/obo/SBO_0000544,,,,SBO:0000550,,refer to [SF req #3172596]; see also [SBGN ER 'Annotation'],annotation,,SBO:0000550,
http://purl.obolibrary.org/obo/SBO_0000561,"mass action rate law for first order irreversible reactions, single essential stimulator, discrete scheme",,"Reaction scheme in which the reaction velocity is direct proportional to the activity or quantity of a single molecular species. The reaction scheme does not include any reverse process that creates the reactants from the products. The change of a product quantity is proportional to the quantity of the stimulator. It is to be used in a reaction modelled using a discrete framework.<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <semantics definitionURL=""http://biomodels.net/SBO/#SBO:0000063"">
   <lambda>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000066"">c</ci></bvar>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000523"">A</ci></bvar>
     <apply>
         <times/>
         <ci>c</ci>
         <ci>A</ci>
     </apply>
   </lambda>
</semantics>
</math>|created on request of LE; [SF req #3325167]",false,,,http://purl.obolibrary.org/obo/SBO_0000166,,"Reaction scheme in which the reaction velocity is direct proportional to the activity or quantity of a single molecular species. The reaction scheme does not include any reverse process that creates the reactants from the products. The change of a product quantity is proportional to the quantity of the stimulator. It is to be used in a reaction modelled using a discrete framework.<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <semantics definitionURL=""http://biomodels.net/SBO/#SBO:0000063"">
   <lambda>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000066"">c</ci></bvar>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000523"">A</ci></bvar>
     <apply>
         <times/>
         <ci>c</ci>
         <ci>A</ci>
     </apply>
   </lambda>
</semantics>
</math>",,sbo,,http://purl.obolibrary.org/obo/SBO_0000166,,,,SBO:0000561,,created on request of LE; [SF req #3325167],"mass action rate law for first order irreversible reactions, single essential stimulator, discrete scheme",,SBO:0000561,
http://purl.obolibrary.org/obo/SBO_0000201,oxidation,,Chemical process during which a molecular entity loses electrons.,false,,,http://purl.obolibrary.org/obo/SBO_0000200,,Chemical process during which a molecular entity loses electrons.,,sbo,,http://purl.obolibrary.org/obo/SBO_0000200,,,,SBO:0000201,,,oxidation,,SBO:0000201,
http://purl.obolibrary.org/obo/SBO_0000212,protonation,,Addition of a proton (H+) to a chemical entity.|Added on September 13 2006 by Nicolas Le Novere.,false,,,http://purl.obolibrary.org/obo/SBO_0000208|http://purl.obolibrary.org/obo/SBO_0000210,,Addition of a proton (H+) to a chemical entity.,,sbo,,http://purl.obolibrary.org/obo/SBO_0000208|http://purl.obolibrary.org/obo/SBO_0000210,,,,SBO:0000212,,Added on September 13 2006 by Nicolas Le Novere.,protonation,,SBO:0000212,
